"No.","Time","Source","Destination","Protocol","Length","Info"
"132","2.236664989","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=196689 Win=218496 Len=0"
"133","2.236672592","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"134","2.236672629","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"135","2.236672654","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"136","2.236683050","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=208977 Win=212480 Len=0"
"137","2.236685557","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"138","2.236693482","192.168.1.7","192.168.1.6","FTP-DATA","1230","FTP Data: 1176 bytes"
"139","2.236693516","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"140","2.236693541","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"141","2.236693564","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"142","2.236707422","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"143","2.236707454","192.168.1.7","192.168.1.6","FTP-DATA","1514","FTP Data: 1460 bytes"
"144","2.236757321","192.168.1.7","192.168.1.6","FTP-DATA","2690","FTP Data: 2636 bytes"
"145","2.236757387","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"146","2.236757412","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"147","2.236778471","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"148","2.236778495","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"149","2.236778520","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"150","2.236796361","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"151","2.236796391","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"152","2.236803082","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=258129 Win=178304 Len=0"
"153","2.236859365","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"154","2.236859681","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"155","2.236859706","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"156","2.236874343","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"157","2.236948819","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=278609 Win=169344 Len=0"
"158","2.236950553","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"159","2.236950596","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"160","2.236950621","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"161","2.236969281","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"162","2.236969307","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"163","2.236969332","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"164","2.236978649","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"165","2.236978675","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"166","2.236978700","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"167","2.236989720","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"168","2.237031939","192.168.1.7","192.168.1.6","FTP-DATA","1230","FTP Data: 1176 bytes"
"169","2.237031997","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"170","2.237032021","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"171","2.237032055","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"172","2.237050310","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"173","2.237050342","192.168.1.7","192.168.1.6","FTP-DATA","2974","FTP Data: 2920 bytes"
"174","2.237085669","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=338873 Win=125312 Len=0"
"175","2.237097030","192.168.1.7","192.168.1.6","FTP-DATA","1230","FTP Data: 1176 bytes"
"176","2.237097116","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"177","2.237097149","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"178","2.237204782","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"179","2.237204831","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"180","2.237204862","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"181","2.237224057","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=360529 Win=112256 Len=0"
"182","2.237276189","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"183","2.237276240","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"184","2.237276270","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"185","2.237294022","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"186","2.237294048","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"187","2.237294072","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"188","2.237303955","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"189","2.237303979","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"190","2.237342121","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"191","2.237342162","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"192","2.237342187","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"193","2.237355814","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"194","2.237367846","192.168.1.6","192.168.1.7","TCP","54","20  >  50478 [ACK] Seq=1 Ack=409681 Win=79104 Len=0"
"195","2.237420754","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"196","2.237420800","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"197","2.237420825","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"198","2.237439759","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"199","2.237439784","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"200","2.237439809","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"201","2.237449761","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"202","2.237449787","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"203","2.237449812","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
