"No.","Time","Source","Destination","Protocol","Length","Info"
"144","2.684043405","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"145","2.684078149","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"146","2.684078178","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"147","2.684133026","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"148","2.684133056","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"149","2.684133080","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"150","2.684150028","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"151","2.684150053","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"152","2.684150078","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"153","2.684159011","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"154","2.684159035","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"155","2.684159061","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"156","2.684169453","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"157","2.684238305","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"158","2.684238356","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"159","2.684238381","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"160","2.684269295","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"161","2.684695461","192.168.1.6","192.168.1.7","TCP","54","20  >  50483 [ACK] Seq=1 Ack=319568 Win=297856 Len=0"
"162","2.684888028","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"163","2.684888221","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"164","2.684888248","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"165","2.684907358","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"166","2.684907383","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"167","2.684950512","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"168","2.684950589","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"169","2.684950615","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"170","2.684978834","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"171","2.684978858","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"172","2.685032368","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"173","2.685032394","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"174","2.685032419","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"175","2.685050291","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"176","2.685050317","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"177","2.685135314","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"178","2.685135350","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"179","2.685135374","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"180","2.685154348","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"181","2.685154373","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"182","2.685154398","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
"183","2.685166321","192.168.1.7","192.168.1.6","FTP-DATA","4150","FTP Data: 4096 bytes"
