"No.","Time","Source","Destination","Protocol","Length","Info"
"432","7.724479","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"433","7.724479","157.253.230.90","157.253.212.244","FTP-DATA","2542","FTP Data: 2476 bytes (PORT) (RETR 650k.jpg)"
"434","7.724479","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"435","7.724479","157.253.230.90","157.253.212.244","FTP-DATA","6256","FTP Data: 6190 bytes (PORT) (RETR 650k.jpg)"
"436","7.724479","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"437","7.724479","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"438","7.724674","157.253.212.244","157.253.230.90","TCP","66","52548  >  20 [ACK] Seq=1 Ack=503867 Win=524800 Len=0 TSval=1878292951 TSecr=878322839"
"439","7.727650","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"440","7.727650","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"441","7.727650","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"442","7.727650","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"443","7.727650","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"444","7.727650","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"445","7.727650","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"446","7.727752","157.253.212.244","157.253.230.90","TCP","66","52548  >  20 [ACK] Seq=1 Ack=512533 Win=524800 Len=0 TSval=1878292954 TSecr=878322918"
"447","7.740269","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"448","7.740269","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"449","7.740269","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"450","7.740269","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"451","7.740362","157.253.212.244","157.253.230.90","TCP","66","52548  >  20 [ACK] Seq=1 Ack=517485 Win=524800 Len=0 TSval=1878292967 TSecr=878322919"
"452","7.746745","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"453","7.746745","157.253.230.90","157.253.212.244","FTP-DATA","2542","FTP Data: 2476 bytes (PORT) (RETR 650k.jpg)"
"454","7.746745","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
"455","7.746745","157.253.230.90","157.253.212.244","FTP-DATA","3780","FTP Data: 3714 bytes (PORT) (RETR 650k.jpg)"
"456","7.746745","157.253.230.90","157.253.212.244","FTP-DATA","1304","FTP Data: 1238 bytes (PORT) (RETR 650k.jpg)"
